AUC,ROC_mlp,PRC_mlp,ROC_svm,PRC_svm
GO:0044421,0.812518516,0.0311849921,0.0214792597,0.0017618644
GO:0044422,0.7654952515,0.5699174239,0.6564803911,0.5139762626
GO:0044424,0.993411657,0.9837749708,0.9002601533,0.4778055541
GO:0044425,0.9963758224,0.9964265125,0.998055633,0.996149589
GO:0044427,0.8505556321,0.3465488232,0.4033874717,0.0491451191
GO:0044428,0.9229838964,0.3528905321,0.885855372,0.1421192291
GO:0044429,0.9697271916,0.9010343397,0.9136385179,0.3548301765
GO:0044430,0.9207954902,0.0707731091,0.3249962033,0.0057625318
GO:0044431,0.976736705,0.8448243231,0.920115166,0.400751142
GO:0044432,0.8398904555,0.0376391096,0.2908735918,0.0040710521
GO:0044444,0.9059519801,0.0681406213,0.3366842057,0.0064051939
GO:0044446,0.9604561434,0.8406584576,0.8447665696,0.2950173202
GO:0044448,0.9934694686,0.9795065725,0.9016087846,0.4762266591
GO:0044449,0.8855429687,0.0975494909,0.5653957229,0.0116178029
GO:0044450,0.9349056604,0.1032311279,0.2068134172,0.0038782783
GO:0044451,0.9365587019,0.0502918171,0.7302007741,0.053370674
GO:0044454,0.9580403767,0.5562870089,0.9267069737,0.2341362823
GO:0044456,0.9151898734,0.2388085674,0.8906871609,0.0616277612
GO:0044459,0.7548617984,0.1234387776,0.1869390664,0.0061488117
GO:0044463,0.8585272873,0.3250337277,0.2517857143,0.070010952
GO:0044464,0.7343421564,0.1618447885,0.148936756,0.0069754932
GO:0045169,0.9962244904,0.9971838905,0.9914449968,0.9882928103
GO:0045170,0.8169704023,0.0527769537,0.3439491408,0.0056989566
GO:0045171,0.9181414644,0.2206535001,0.2600884337,0.0031569804
GO:0045172,0.74067312,0.034435367,0.7554270852,0.0599819022
GO:0045177,0.8538621477,0.1608182779,0.5585668027,0.0269645247
GO:0045178,0.8868294867,0.1455401387,0.4449481715,0.0173028823
GO:0045179,0.6178683386,0.0051760386,0.2304075235,0.0020869065
GO:0045202,0.7991205839,0.0255855052,0.2120859436,0.0025734111
GO:0045211,0.7761279105,0.1540147934,0.2128262985,0.0108361312
GO:0045495,0.5778994405,0.0132498799,0.1608391608,0.0021073253
GO:0046930,0.8851831831,0.2755238486,0.6161031466,0.1037184584
GO:0048471,0.9446004734,0.0670172802,0.5217910169,0.0074860185
GO:0048786,0.8841752918,0.0447593478,0.4452439789,0.0086654424
GO:0051233,0.8471673647,0.0268158016,0.1638054064,0.0026993645
GO:0055029,0.802300409,0.0241794143,0.1842721318,0.00212244
GO:0060293,0.9476602002,0.3307947114,0.7625703073,0.0823671409
GO:0070013,0.8867657949,0.3090805287,0.7155566581,0.1183904906
GO:0070160,0.9612750679,0.7687573577,0.9162711271,0.2820785416
GO:0070161,0.8255171977,0.1913524757,0.2400088531,0.0057177016
GO:0070461,0.8832273281,0.156853889,0.3742003527,0.0232187474
GO:0070603,0.8338659992,0.0388469065,0.7488339603,0.0271585053
GO:0070864,0.9326794764,0.1055251305,0.9125252975,0.0443594521
GO:0071011,0.9542201641,0.1428804137,0.1369930562,0.0020652689
GO:0071013,0.9507577998,0.440463976,0.9301602667,0.3092331865
GO:0071944,0.9543643139,0.4211051382,0.9222272132,0.2665542631
GO:0072686,0.9298412301,0.6933956051,0.8418577333,0.2169989896
GO:0090544,0.8613940247,0.0297241641,0.2018437228,0.002700341
GO:0097060,0.939184953,0.1206494814,0.9191222571,0.0596466008
GO:0097346,0.6267468984,0.0095375663,0.158522512,0.0025344096
GO:0097458,0.7882292584,0.164490213,0.5602788837,0.0199759275
mean,0.8752753186,0.2608681758,0.5444238654,0.11967564
std,0.0873289725,0.2875403677,0.3240079762,0.2253140118
